term_clean,description
평균여명,"어떤 연령에서 그 연령의 사람이 미래에 생존할 수 있는 기간의 평균을 의미한다.
평균여명이란 여명의 평균을 말한다. 어느 연령의 여명이란 그 연령으로부터 사망할 때까지의 기간을 말하며, 0세의 평균여명을 평균수명이라 부른다.
어느 연령의 사람이 앞으로 생존해 있을 수 있는 평균연수. 다시 말해서 이제부터 몇년을 살아 있을 수 있는가를 가리키는 숫자인 것인데, 각 연령별, 남녀별로 생명표에서 표시한다
어느 연령의 사람이 앞으로 생존해 있을 수 있는 평균연수. 다시 말해서 이제부터 몇년을 살아 있을 수 있는가를 가리키는 숫자인 것인데, 각 연령별, 남녀별로 생명표에서 표시한다."
평준순보험료식 책임준비금,"영업보험료가 평준식인 경우, 평준순보험료와 보험금 지급만을 고려해서 계산하는 책임준비금의 이상적인 형태로 경영의 기반이 확고해지면 이 방식으로 옮겨가도록 하려는 노력을 기울이고 있다. 평준순보험식 또는 순보험료식 책임준비금이라고 한다."
표준미달체보험,"피보험자(보험대상자)의 건강상태, 직업위험 등에 의하여 그 사망발생 위험도가 통상의 건강체보다 큰 사람을 표준미달체라고 하며, 이들을 대상으로 하는 보험을 표준미달체보험이라고 한다.
표준미달체를 대상으로 하는 보험. 신체의 의학적 결함이 있거나 위험한 직업에 종사하고 있는 사람들의 사망률은 일반적인 건강한 사람들의 사망률에 비해서 높기 때문에, 위험도에 상응한 특별조건이 붙은 보험이 제공된다. 특별조건에는 체감성 위험에 대한 보험금 삭감지급법, 체증성 위험에 대한 연증법(年增法), 할증보험료 징수법 또는 양자의 병용법이 있다."
표준약관,"금융감독원에서 개별보험약관에 공통적으로 기재되어야 할 사항을 미리 표준화하여 정해 놓은 것으로, 표준약관과 다르게 개별보험약관을 작성하고자 하는 경우에는 금융감독원에 미리 신고하여 심사를 받아야 한다."
표준요율,"표준이 되는 위험요인에 대해서 일정요율을 정해놓고, 실제의 계약에 있어서는 그때마다 보험의 목적, 위험의 실태 등에 따라 수정해서 적용하는 요율. 범위요율과는 달리 그 수정폭에 한도가 없다."
표준책임준비금제도,보험사들이 표준이율보다 높은 이율을 사용하여 보험료가 저렴한 상품을 판매하는 경우 준비금은 표준이율로 적립하여야 하기 때문에 보험사들의 과당경쟁을 제한할 수 있는 제도적 장치이다.
표준체계약,"신체상, 도덕상 및 기타 어느 면에서도 정확한 결점이 없기 때문에 특별 조건을 붙이지 않고 기준보험료로서 보험에 가입할 수 있는 계약을 말한다."
표준해약환급금,보험가격자유화에 따라 보험사가 예정사업비(신계약비)를 자유화할 경우 모집수당 등 신계약비의 과도한 지출로 인해 해약환급금이 축소되는 것을 방지하기 위하여 감독당국이 규정한 최소한의 해약환급금을 말한다. 표준해약환급금은 보험가입자를 보호하는 기능이 있다.
피보험이익,"우연한 사고에 있어 어떤 사람이 손해를 입을 위험이 있는 경우에 그 어떤 사람과 어떤 물건 사이에 개재하는 이해관계를 피보험이익이라고 한다. 피보험이익은 손해보험계약의 중요한 요소인 것이며, 상 법에서는 보험계약의 목적이라고 되어 있다."
피보험자,"가. 상해보장 : 보험사고의 대상이 되는 사람을 말합니다. 나. 재물손해보장 : 보험사고로 인하여 손해를 입은 사람 (법인인 경우에는 그 이사 또는 법인의 업무를 집행하는 그 밖의 기관)을 말합니다. 다. 배상책임보장 : 보험사고로 인하여 타인에 대한 법률상 손해배상책임을 부담하는 손해를 입은 사람 (법인인 경우에는 그 이사 또는 법인의 업무를 집행하는 그 밖의 기관)을 말합니다. 라. 비용손해 보장 : 보험사고가 발생함으로써 손해를 입을 수 있는 사람. 즉, 피보험이익을 지니고 있는 사람을 말합니다."
피보험자 개별적용,"자동차보험에서 동일한 자동차사고로 인하여 피해자에 대하여 배상책임을 지는 피보험자가 복수로 존재하는 경우에, 손해배상책임의 발생요건이나 면책약관의 적용 여부 등을 피보험자마다 개별적으로 적용하여 그 보상책임 유무를 결정하는 것"
피보험자동차,"자동차보험계약에서, 그 계약의 대상이 되어 보험증권에 기재된 특정의 자동차를 말함. 이 피보험자동차와 관련해서 생긴 손해가 자동차보험에 의해서 보상됨
자동차보험계약에서, 그 계약의 대상이 되어 보험증권에 기재된 특정의 자동차를 말한다. 이 피보험 자동차와 관련해서 생긴 손해가 자동차보험에 의해서 보상된다. 운전자보험에서는 계약의 대상으로 개별의 자동차는 특정되지 않으며, 따라서 피보험 자동차라는 개념은 존재하지 않는다."
피보험자동차의 교체,보험계약자 등이 보험기간 중 기존의 피보험자동차를 폐차 또는 양도 후 그 자동차와 동일한 차종의 다른자동차로 교체한 경우
피보험자의 배우자,법률상의 배우자 또는 사실혼 관계에 있는 배우자
피보험자의 자녀,"법률상의 혼인관계에서 출생한 자녀, 사실혼 관계에서 출생한 자녀, 양자 또는 양녀"
피재보험자,재보험계약의 피보험자 즉 원보험자를 말한다.
피재재보험자,재재보험의 피보험자를 말한다. 다시 말하면 재재보험에서 출재자를 말한다.
하이브리드 자동차,화석연료와 전기 2가지를 동력원으로 사용하는 자동차
할증보험료,어느 일정기준으로 산정된 기본 보험료의 경우보다 부담해야할 위험의 정도가 큰 경우나 위험이 증가 되었을 경우에 그 위험의 정도에 따라 기본 보험료에 추가해서 추정되는 보험료를 말한다. 보험료의 추정이 보험기간의 일부에 대해서 적용될 때에는 추가보험료라고도 한다.
합의,"손해가 발생한 경우, 손해의 원인, 성질, 비율 또는 손해액 등에 관해서 피보험자와 보험자와의 사이에 의견이 다를 때, 쌍방이 서로 타협하여 지급액을 결정하여 해결함을 말한다."
합의교섭,"합의는 손해배상의 해결방법의 하나로, 피해자˙가해자가 서로 타협하여 타당한 배상액의 수수를 약속함으로써 원만한 해결을 꾀하는 것이다. 법적으로는 당사자쌍방의 합의가 있으면 되고, 간편하고 비용도 들지 않기 때문에 교통사고를 비롯한 배상문제의 대부분은 합의에 의해서 해결되고 있다. 합의도 일종의 계약인 이상 일단 성립되면 그것을 깨는 일은 원칙적으로 불가능하다."
해약불능의 취업불능보험,"계약효력발생일 혹은 갱신일로부터 1년이 경과한 후에는 해약하거나 또는 다른 방법으로 계약을 소멸시키는 선택권을 보험자에게 부여하지 않는 계약에 의하여 질병, 질환 또는 상해에 의한 취업불능시 그 손실을 보상하는 보험이다."
해지권,"보험자가 보험계약을 해지할 수 있는 권리로서 ①보험계약자의 보험료불지급(상법 제650조) ②보험계약자나 피보험자의 고지의무위반(상법 제651조) ③보험계약자나 피보험자의 위반변경증가 통지의무해태(상법 제652조) ④보험계약자, 피보험자 또는 보험수익자의 고의 또는 중과실로 인한 위험증가(상법 제653조)등을 그 사유로 한다. 이에 대하여 보험계약자는 해약자유의 원칙에 의하여 보호된다.
보험자가 보험계약을 해지할 수 있는 권리로서 ① 보험계약자의 보험료불지급(상법 제650조) ② 보험계약자나 피보험자의 고지의무위반(상법 제651조) ③ 보험계약자나 피보험자의 위반변경증가 통지의무해태(상법 제652조) ④ 보험계약자, 피보험자 또는 보험수익자의 고의 또는 중과실로 인한 위험증가(상법 제653조)등을 그 사유로 한다. 이에 대하여 보험계약자는 해약자유의 원칙에 의하여 보호된다."
해지환급금,"보험계약의 효력상실, 해지 등으로 보험금을 지급하지 않게 되었을 경우, 그 계약의 보험료 및 책임준비금산출방법서에 정하는 바에 따라 보험계약자에게 반환하는 금액을 말한다."
행정상책임,"교통사고를 야기한 차의 운전자에게 처해지는 도로교통법에 의한 벌점 및 범침금의 부과, 운전면허의 정지 및 취소 등의 행정처분"
허락피보험자,"자동차보험에 있어서는 자동차의 사용실태에 맞추어서 기명피보험자의 허락을 받고 피보험 자동차를 사용 또는 관리하고 있는 사람도 피보험자로 취급하고 있다. 이 피보험자를 허락피보험자라고 말한다. 이 허락은 기명피보험자로부터 직접 받을 필요가 있으나, 피보험 자동차를 제3자가 사용하는 것을 알면서도 기명피보험자가 명시적으로 반대하지 않은 경우도 직접 허락이 있었던 것으로 볼 수 있다. 그러나 전차(轉借)한 차주(借主)는 피보험자로 되지 않는다.
자동차보험에 있어서는 자동차의 사용실태에 맞추어서 기명피보험자의 허락을 받고 피보험 자동차를 사용 또는 관리하고 있는 사람도 피보험자로 취급하고 있다. 이 피보험자를 허락피보험자라고 말한다. 이 허락은 기명피보험자로부터 직접 받을 필요가 있으나, 피보험 자동차를 제3자가 사용하는 것을 알면서도 기명피보험자가 명시적으로 반대하지 않은 경우도 직접 허락이 있었던 것으로 볼 수 있다."
현재연령,"가입연령 혹은 계약연령에 대한 용어로 x세에 가입하고 t년 경과해서 현재에 이른 경우의 연령. 현재연령 혹은 도달연령이라고 하고, x+t세로 표시한다."
협정보험가액,보험계약을 체결할 때 또는 손해가 발생하기 전에 계약당사자가 임의로 협의하여 결정한 보험가액을 협정보험가액이라 부른다. 실제로는 CIF가액에 희망이익(Anticipated or Imaginary Profit)등을 부가하여 CIF가격의 110%로 협정하는 경우가 많다. Policy Valuation이라고도 한다.
형사상책임,차의 운전자가 교통사고로 인하여 『형법』 제268조의 죄(업무상과실·중과실 치사상죄)를 범한 경우의 차의 운전자에게 처해지는 형사상 처벌
형사합의서,합의금액이 명시되어 경찰서 혹은 검찰청에 제출된 자동차교통사고 형사합의서
형제.자매,"기명피보험자와 부모(양부모, 계부모 포함)가 동일(부모 중 1인이 동일한 경우를 포함)한 기명피보험자의 형제·자매"
호의동승자,"호의 혹은 무상으로 타인을 자동차에 동승시킨 경우, 그 타인을 호의동승자라고 말한다. 교통사고로 호의동승자가 사상한 경우에 호의 동승자는 자배법 제3조에서 말하는 「타인」에 해당하므로 원칙적으로 운행공용자는 호의동승자에 대한 배상책임을 부담한다는 견해가 통설이다. 그러나 호의동승자의 손해에 대해서 전면적으로 운행공용자에 책임을 지우는가 아닌가에 대해서는 그 개개의 사정을 감안해서 호의동승자에 대한 배상액이 감액되는 경우도 있다.
호의 혹은 무상으로 타인을 자동차에 동승시킨 경우, 그 타인을 호의동승자라고 말한다. 교통사고로 호의동승자가 사상한 경우에 호의 동승자는 자배법 제3조에서 말하는 「타인」에 해당하므로 원칙적으로 운행공용자는 호의동승자에 대한 배상책임을 부담한다는 견해가 통설이다. 그러나 호의동승자의 손해에 대해서 전면적으로 운행공용자에 책임을 지우는가 아닌가에 대해서는 그 개개의 사정을 감안해서 호의동승자에 대한 배상액이 감경될 수 있다."
환경상의 위험,"피보험자의 주거환경, 직업환경, 경제환경, 가족환경 등 보험사고 발생에 영향을 미치는 요인을 환경상의 위험이라고 한다. 현재 주거환경에 대한 선택을 그리 많이 행하지 않고 있으나 경제환경, 가족환경에 대해서는 도덕적 위험의 관점에서 선택이 행하여지고 있다. 또한 직업환경에 대하여는 제한직종을 정하거나 직업에 따라 보험가입금액을 제한하고 있다."
환경적 위험,"피보험자의 주거환경, 직업환경, 경제환경, 가족환경 등 보험금지급사유 발생에 영향을 미치는 요인을 환경적 위험이라고 한다."
활동불능상태,"보조기구를 사용하여도 이동, 식사, 목욕, 옷입기 등 생명유지에 필요한 일상생활 기본동작들을 스스로 할 수 없는 상태가 90일(또는 180일)이상 계속되어 호전될 것을 기대할 수 없는 상태를 말합니다."
후유장해,"일반적으로 후유증이라고 불려지고 있으며, 이것은 병세초기의 급성증상이 치료된 후 오래도록 잔존되는 신체상의 기능장해라고 지칭되고 있다."
후유장해보험금,"피보험자 혹은 피해자가 사고에 의해 상해를 입고, 그 직접의 결과로서 신체의 일부를 잃던가 신체의 기능에 영구히 장해가 남은 경우에 지급되는 보험금을 말한다. 상해보험에서는 그 장해의 정도에 의해서 약관에 정해진 후유장해등급 구분에 따라 보험금이 산출된다.
피보험자 혹은 피해자가 사고에 의해 상해를 입고, 그 직접의 결과로서 신체의 일부를 잃던가 신체의 기능에 영구히 장해가 남은 경우에 지급되는 보험금을 말한다. 상해보험에서는 그 장해의 정도에 의해서 약관에 정해진 후유장해등급 구분에 따라 보험금이 산출된다. 자배책보험에서는 후유장해등급에 의한 정부령에 따라 정해진 보험금액을 한도로해서 보험금이 지급된다."
